system:index,cumulative_actual,cumulative_flat_baseline,cumulative_trend_baseline,year,.geo
0,43315.49117647059,65146.38329411765,48154.11282470077,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,84163.07294117648,130292.7665882353,92909.77155528497,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,148010.68270588235,195439.14988235297,134266.9761917526,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,198318.9091764706,260585.5331764706,172225.72673410363,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,262798.7177647059,325731.91647058824,206786.02318233717,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,313491.01976470585,390878.2997647059,237947.86553645413,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,401821.2790588235,456024.6830588235,265711.2537964545,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,489594.79023529403,521171.06635294115,290076.1879623383,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,575738.0159999998,586317.4496470588,311042.66803410463,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,662003.4419999998,651463.8329411765,328610.69401175436,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,753768.5297647057,716610.2162352941,342780.2658952875,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,873715.3916470585,781756.5995294118,353551.3836847041,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1017311.5916470585,846902.9828235294,360924.0473800041,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1078534.1579999996,912049.366117647,364898.25698118657,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1167654.8872941171,977195.7494117647,365474.0124882525,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1210697.788941176,1042342.1327058823,362651.3139012018,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
